Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
GDE3,ZDT2,5,Time,10.390299320220947
GDE3,ZDT2,15,GD,0.0004740997749078337
GDE3,ZDT2,15,EP,0.01717448940493349
GDE3,ZDT2,15,HV,0.3274834300142099
GDE3,ZDT2,22,GD,0.0004846995980664487
GDE3,ZDT2,22,EP,0.009899333668242472
GDE3,ZDT2,22,HV,0.3277531402923753
GDE3,ZDT2,1,Time,9.57882809638977
GDE3,ZDT2,3,Time,9.589052677154541
GDE3,ZDT2,19,GD,0.00044755809617271896
GDE3,ZDT2,19,EP,0.01243620238857479
GDE3,ZDT2,19,HV,0.3274826447386545
GDE3,ZDT2,2,Time,9.838411092758179
GDE3,ZDT2,11,GD,0.00046366534696506886
GDE3,ZDT2,11,EP,0.011989692650716477
GDE3,ZDT2,11,HV,0.32756643982821193
GDE3,ZDT2,12,Time,9.594812154769897
GDE3,ZDT2,24,GD,0.000491831634215535
GDE3,ZDT2,24,EP,0.011255015428402626
GDE3,ZDT2,24,HV,0.3276347216223445
GDE3,ZDT2,13,Time,9.544570684432983
GDE3,ZDT2,6,GD,0.0005288456772319778
GDE3,ZDT2,6,EP,0.012589351726028264
GDE3,ZDT2,6,HV,0.3273261442187831
GDE3,ZDT2,22,Time,9.457831621170044
GDE3,ZDT2,16,Time,9.554947853088379
GDE3,ZDT2,4,GD,0.0004904929394591224
GDE3,ZDT2,4,EP,0.0158048063419175
GDE3,ZDT2,4,HV,0.3272492340785391
GDE3,ZDT2,16,GD,0.0004517089483458276
GDE3,ZDT2,16,EP,0.013284987853976582
GDE3,ZDT2,16,HV,0.32742759503757785
GDE3,ZDT2,18,Time,9.535919189453125
GDE3,ZDT2,13,GD,0.000539330999637866
GDE3,ZDT2,13,EP,0.011473051593474892
GDE3,ZDT2,13,HV,0.3274514099802073
GDE3,ZDT2,0,GD,0.0004971035514933073
GDE3,ZDT2,0,EP,0.012837738845645985
GDE3,ZDT2,0,HV,0.327563332453397
GDE3,ZDT2,21,Time,9.535648822784424
GDE3,ZDT2,8,GD,0.00044316657062515335
GDE3,ZDT2,8,EP,0.014406868159017927
GDE3,ZDT2,8,HV,0.3274139666299258
GDE3,ZDT2,23,Time,9.496243000030518
GDE3,ZDT2,20,GD,0.000498841464224749
GDE3,ZDT2,20,EP,0.01247621355900308
GDE3,ZDT2,20,HV,0.3273684974844249
GDE3,ZDT2,7,GD,0.0005047530250443464
GDE3,ZDT2,7,EP,0.01246789348980648
GDE3,ZDT2,7,HV,0.3273358391883295
GDE3,ZDT2,2,GD,0.0004927384364260166
GDE3,ZDT2,2,EP,0.012679665595309975
GDE3,ZDT2,2,HV,0.32752044823012655
GDE3,ZDT2,4,Time,9.861537456512451
GDE3,ZDT2,12,GD,0.0004706071631021251
GDE3,ZDT2,12,EP,0.011977168091844681
GDE3,ZDT2,12,HV,0.3277619930448741
GDE3,ZDT2,18,GD,0.0005414073358029472
GDE3,ZDT2,18,EP,0.018693613591722724
GDE3,ZDT2,18,HV,0.32713201837574396
GDE3,ZDT2,7,Time,9.745909929275513
GDE3,ZDT2,24,Time,9.450525760650635
GDE3,ZDT2,21,GD,0.0005153506962258108
GDE3,ZDT2,21,EP,0.014314145116955224
GDE3,ZDT2,21,HV,0.3272826588086853
GDE3,ZDT2,11,Time,9.595051765441895
GDE3,ZDT2,10,GD,0.0004567405969084595
GDE3,ZDT2,10,EP,0.020622418874064352
GDE3,ZDT2,10,HV,0.32723982511065375
GDE3,ZDT2,10,Time,9.564810276031494
GDE3,ZDT1,5,GD,0.0006617961381394799
GDE3,ZDT1,5,EP,0.014784031964267363
GDE3,ZDT1,5,HV,0.6605518130158966
GDE3,ZDT1,6,Time,9.758477687835693
GDE3,ZDT1,17,GD,0.000608957220142435
GDE3,ZDT1,17,EP,0.01584453668594704
GDE3,ZDT1,17,HV,0.6605717429334024
GDE3,ZDT1,9,GD,0.0006514246209479255
GDE3,ZDT1,9,EP,0.01460439807093955
GDE3,ZDT1,9,HV,0.6607990989628321
GDE3,ZDT1,14,Time,9.5263991355896
GDE3,ZDT1,14,GD,0.0006642243373864233
GDE3,ZDT1,14,EP,0.012878646953480344
GDE3,ZDT1,14,HV,0.6608488395912191
GDE3,ZDT1,0,Time,9.698315143585205
GDE3,ZDT1,3,GD,0.0005865601411579216
GDE3,ZDT1,3,EP,0.012570004594718964
GDE3,ZDT1,3,HV,0.6611478385677662
GDE3,ZDT1,8,Time,9.725283145904541
GDE3,ZDT1,9,Time,9.503931999206543
GDE3,ZDT1,15,Time,9.5406334400177
GDE3,ZDT1,23,GD,0.000732870979692368
GDE3,ZDT1,23,EP,0.012650437442737528
GDE3,ZDT1,23,HV,0.66077394449775
GDE3,ZDT1,19,Time,9.457512855529785
GDE3,ZDT1,1,GD,0.0006711025523290311
GDE3,ZDT1,1,EP,0.013674219790703157
GDE3,ZDT1,1,HV,0.6608330835191559
GDE3,ZDT1,20,Time,9.461531162261963
GDE3,ZDT1,17,Time,9.466106653213501
GDE3,ZDT1,5,Time,9.65566873550415
GDE3,ZDT1,15,GD,0.000616232252787062
GDE3,ZDT1,15,EP,0.009784400152264436
GDE3,ZDT1,15,HV,0.6608967152151366
GDE3,ZDT1,22,GD,0.0005582872817758168
GDE3,ZDT1,22,EP,0.013581236817095776
GDE3,ZDT1,22,HV,0.6611830933075616
GDE3,ZDT1,1,Time,9.384028434753418
GDE3,ZDT1,3,Time,9.5446457862854
GDE3,ZDT1,19,GD,0.0006402926547040348
